PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;COD-BARRIO;BARRIO;COD-DISTRITO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO
167390;"Academia Darío Estudio";"";"";"";"METRO: Santo Domingo, Plaza España BUS: 1 , 2 , 44 , 46 , 74 , 75 , 133 , 148 , 202";"ENSEÑANZA: BACHILLERATO (Humanidades  y C. Sociales - Ciencias y Tecnología)";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=bfb1ff632081c010VgnVCM1000000b205a0aRCRD";"GRAN VIA";"CALLE";"V";"63";"";"";"";"";"MADRID";"MADRID";"28013";"1";"PALACIO";"1";"CENTRO";"439895";"4475101";"40.42249057800178";"-3.7098176178133118";"915 411 515 - 915 474 084";"915 474 084";"info@darioestudio.es";"/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPrivadosConcertados"
5373;"Altair, Colegio Internacional";"";"";"Comedor - Transporte - Horario ampliado";"METRO: Plaza de Castilla BUS: 5 , 27 , 47 , 49 , 66 , 67 , 70 , 80 , 124 , 129 , 134 , 135 , 147 , 149 , 150 , 229";"ENSEÑANZA: Educación infantil - Primaria - ESO - BACHILLERATO (Humanidades y Ciencias Sociales - Ciencias)";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7d277b503a71c010VgnVCM1000000b205a0aRCRD";"JOAQUIN BAU";"CALLE";"NUM";"4";"";"";"";"";"MADRID";"MADRID";"28036";"5";"NUEVA ESPAÑA";"5";"CHAMARTIN";"441854";"4479461";"40.463788404722166";"-3.685847945340213";"913 451 168 - 913 596 368";"913 507 016";"secretaria@colegioaltair.com";"/contenido/entidadesYorganismos/CentrosEducacion/ColegiosPrivadosConcertados"
10127337;"Aula Municipal de Formación de Personas Adultas. Distrito Centro.";"";"De lunes a jueves:    Mañanas de 08:30 a 13:00 horas. Tardes de 14:00 a 16:00 horas.   Viernes de 10 a 14:00 horas";"";"Metro: Embajadores. Lavapiés, Acacias    Bus: 34, 36, 41, 60, 119, 148, C1    Cercanías: Embajadores";"Programas Formativos:   Español para extranjeros.";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=01d5046411ae6510VgnVCM2000001f4a900aRCRD";"CASINO";"CALLE";"V";"5";"";"";"";"";"MADRID";"MADRID";"28005";"2";"EMBAJADORES";"1";"CENTRO";"440152";"4473128";"40.406617104441125";"-3.705325667737951";"91 539 63 10";"";"";"/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos"
5422896;"Aula Municipal de Formación de Personas Adultas. Distrito Chamberí";"";"De lunes a jueves:  mañanas de 10,15 a 12,15 horas tardes de 15,15 a 17,15 horas y de 18 a 20 horas";"";"Bus: 3, 7, 21, 37, 40 Metro: Alonso Martínez";"Programas Formativos:   LectoescrituraMatemáticas para la vidaEspañol para inmigrantes";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f8060c2f841e3210VgnVCM2000000c205a0aRCRD";"ALMAGRO";"CALLE";"V";"5";"";"";"";"I.F.E. DEL GOBIERNO LOCAL DE MADRID";"MADRID";"MADRID";"28010";"4";"ALMAGRO";"7";"CHAMBERI";"441045";"4475554";"40.42852633195809";"-3.695038704917714";"917 001 548 - 917 001 552";"";"";"/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos"
6599;"Aula Municipal de Formación de Personas Adultas. Distrito Ciudad Lineal.";"";"De lunes a jueves:   mañanas de 9:00 a 13:30 horas tardes de 16:00 a 18:00 horas   Viernes de 10 a 14:00 horas";"";"Bus: 15 , 28 , 110 , 113 , 210 Metro: La Elipa (L2)";"Programas Formativos:    Lectoescritura. Matemáticas para la vida. Español para extranjeros. Alfabetización digital.";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=fe25821c3771c010VgnVCM1000000b205a0aRCRD";"SANTA FELICIDAD";"CALLE";"NUM";"39";"";"";"";"EN CENTRO CULTURAL ELIPA";"MADRID";"MADRID";"28017";"1";"VENTAS";"15";"CIUDAD LINEAL";"444837";"4475071";"40.42443536952662";"-3.650283533159248";"914 055 312";"";"";"/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos"
6605;"Aula Municipal de Formación de Personas Adultas. Distrito San Blas - Canillejas.";"";"De lunes a jueves de 9 a 15:30 horas.  Viernes de 10 a 14:00 horas. (Cerrado temporalmente).";"";"Bus: 4 , 48, 106, 140. Metro: Alsacia (L2).";"Programas Formativos:   Lectoescritura.Matemáticas para la vida.";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=4555821c3771c010VgnVCM1000000b205a0aRCRD";"SAN ROMAN DEL VALLE";"CALLE";"NUM";"8";"";"";"";"EN CENTRO CULTURAL ANTONIO MACHADO";"MADRID";"MADRID";"28037";"4";"ARCOS";"20";"SAN BLAS-CANILLEJAS";"447249";"4474586";"40.420231627534996";"-3.6218113860909074";"913 135 294";"";"";"/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos"
6602;"Aula Municipal de Formación de Personas Adultas. Distrito Villaverde. Calle Doctor Martín Arévalo.";"";"De lunes a jueves   mañanas de 9:00 a 13:30 horas. tardes de 16:00 a 18:00 horas.   Viernes de 10 a 14:00 horas. (Cerrado temporalmente).";"";"Bus: 22 , 86 , 130 , 131.";"Programas Formativos:   Español para extranjeros.";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=38c5821c3771c010VgnVCM1000000b205a0aRCRD";"DOCTOR MARTIN AREVALO";"CALLE";"V";"2";"";"";"";"CENTRO CULTURAL ÁGATA";"MADRID";"MADRID";"28021";"";"SAN ANDRES";"";"VILLAVERDE";"439827";"4466442";"40.34636268334182";"-3.708524395897377";"917 109 300";"";"";"/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos"
6603;"Aula Municipal de Formación de Personas Adultas. Distrito Villaverde. Plaza Los Pinazo.";"";"De lunes a jueves, de 9 a 13:30 horas y de 16:00 a 18:00 horas.  Viernes, de 10 a 14:00 horas";"";"Metro: San Cristóbal  Bus: 59 , 79";"Programas Formativos:   LectoescrituraMatemáticas para la vidaEspañol para inmigrantes";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8ee5821c3771c010VgnVCM1000000b205a0aRCRD";"PINAZO";"PLAZA";"V";"9";"";"";"";"";"MADRID";"MADRID";"28021";"2";"SAN CRISTOBAL";"17";"VILLAVERDE";"441274";"4466022";"40.34268217960563";"-3.6914488300328197";"917 100 410";"";"";"/contenido/entidadesYorganismos/CentrosEducacion/CentrosEducacionAdultos"
5236566;"Casa de Niños Daniel Vázquez Díaz";"";"";"Planes de mejora";"METRO: Valdezarza BUS: 126, 127, 132";"ENSEÑANZA: Educación infantil (Primer Ciclo)";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=85133ceac6b4f110VgnVCM2000000c205a0aRCRD";"ARMENTEROS";"CALLE";"V";"46";"";"";"";"";"MADRID";"MADRID";"28039";"4";"VALDEZARZA";"9";"MONCLOA-ARAVACA";"439552";"4479590";"40.464777111936684";"-3.7130226942453906";"913 113 496";"913 113 496";"";"/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas"
5236471;"Casa de Niños Giner de los Ríos";"";"";"";"BUS:  24, 102, 103, 111, 144";"ENSEÑANZA: Educación infantil (Primer Ciclo)";"0";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=cff7d468e4b4f110VgnVCM2000000c205a0aRCRD";"MEMBEZAR";"CALLE";"V";"25";"";"";"";"";"MADRID";"MADRID";"28053";"1";"ENTREVIAS";"13";"PUENTE DE VALLECAS";"443256";"4470098";"40.379529471156005";"-3.6684765035279683";"917 860 722";"917 860 722";"cn.ginerdelosrios.madrid@educa.madrid.org";"/contenido/entidadesYorganismos/CentrosEducacion/EscuelasInfantilesPublicas"
