AÑO;MES;DISTRITO;FUEGOS;DAÑOS EN CONSTRUCCION;SALVAMENTOS Y RESCATES;DAÑOS POR AGUA;INCIDENTES DIVERSOS;SALIDAS SIN INTERVENCION;SERVICIOS VARIOS;TOTAL
2023;noviembre;CENTRO;444;352;721;315;675;266;130;2903
2023;noviembre;ARGANZUELA;151;93;285;126;326;112;35;1128
2023;noviembre;RETIRO;108;70;228;95;200;64;23;788
2023;noviembre;SALAMANCA;181;167;389;180;341;105;54;1417
2023;noviembre;CHAMARTIN;179;103;262;133;399;76;71;1223
2023;noviembre;TETUAN;232;123;362;181;248;82;46;1274
2023;noviembre;CHAMBERI;179;151;389;147;281;81;43;1271
2023;noviembre;FUENCARRAL;236;65;348;180;483;117;68;1497
2023;noviembre;MONCLOA;216;94;276;136;441;95;64;1322
2023;noviembre;LATINA;313;103;444;169;426;113;57;1625
2023;noviembre;CARABANCHEL;321;127;456;193;452;137;36;1722
2023;noviembre;USERA;217;65;274;124;273;75;43;1071
2023;noviembre;PUENTE VALLECAS;405;114;485;214;436;112;120;1886
2023;noviembre;MORATALAZ;116;22;193;65;158;51;10;615
2023;noviembre;CIUDAD LINEAL;222;106;406;152;418;99;25;1428
2023;noviembre;HORTALEZA;205;72;278;132;450;88;20;1245
2023;noviembre;VILLAVERDE;306;54;250;110;288;69;44;1121
2023;noviembre;VILLA DE VALLECAS;279;40;230;67;182;84;26;908
2023;noviembre;VICALVARO;110;22;123;60;135;35;31;516
2023;noviembre;SAN BLAS;237;63;287;146;277;82;39;1131
2023;noviembre;BARAJAS;58;20;67;62;149;39;30;425
2023;noviembre;FUERA TERMINO MUNICIPAL;11;0;8;0;9;6;20;54
2023;septiembre;CENTRO;31;46;75;37;68;10;7;274
2023;septiembre;ARGANZUELA;16;11;34;16;21;6;4;108
2023;octubre;CENTRO;37;50;84;40;91;18;11;331
2023;octubre;ARGANZUELA;12;11;26;12;50;7;1;119
2023;octubre;RETIRO;6;10;28;7;22;5;4;82
2023;octubre;SALAMANCA;15;15;54;17;45;7;3;156
2023;octubre;CHAMARTIN;20;20;20;21;52;5;9;147
2023;octubre;TETUAN;24;18;29;13;36;6;5;131
2023;octubre;CHAMBERI;19;22;38;13;43;3;2;140
2023;octubre;FUENCARRAL;23;12;35;16;71;6;10;173
2023;octubre;MONCLOA;13;11;21;17;58;5;3;128
2023;octubre;LATINA;23;17;37;18;58;9;2;164
2023;octubre;CARABANCHEL;34;21;45;26;81;6;4;217
2023;octubre;USERA;13;9;30;19;37;3;2;113
2023;octubre;PUENTE VALLECAS;28;16;44;31;45;6;8;178
2023;octubre;MORATALAZ;10;2;21;11;21;5;3;73
2023;octubre;CIUDAD LINEAL;21;17;41;18;52;4;3;156
2023;octubre;HORTALEZA;22;15;28;20;58;4;0;147
2023;octubre;VILLAVERDE;38;8;30;23;41;2;5;147
2023;octubre;VILLA DE VALLECAS;20;3;18;9;19;1;9;79
2023;octubre;VICALVARO;6;0;6;7;20;1;1;41
2023;octubre;SAN BLAS;24;8;22;20;45;9;4;132
2023;octubre;BARAJAS;2;4;9;9;12;6;0;42
2023;octubre;FUERA TERMINO MUNICIPAL;0;0;2;0;0;0;0;2
2023;septiembre;RETIRO;9;11;29;14;27;4;0;94
2023;septiembre;SALAMANCA;14;34;42;34;27;5;4;160
2023;septiembre;CHAMARTIN;8;13;20;16;49;2;6;114
2023;septiembre;TETUAN;20;22;41;36;23;5;2;149
2023;septiembre;CHAMBERI;13;28;51;28;29;2;1;152
2023;septiembre;FUENCARRAL;16;6;31;43;53;4;3;156
2023;septiembre;MONCLOA;9;13;30;18;36;5;4;115
2023;septiembre;LATINA;31;10;58;27;38;3;1;168
2023;septiembre;CARABANCHEL;24;11;37;42;51;9;0;174
2023;septiembre;USERA;12;7;25;28;28;4;3;107
2023;septiembre;PUENTE VALLECAS;29;12;50;41;50;4;0;186
2023;septiembre;MORATALAZ;8;1;22;10;27;3;0;71
2023;septiembre;CIUDAD LINEAL;9;17;41;24;39;5;2;137
2023;septiembre;HORTALEZA;10;9;22;29;49;3;2;124
2023;septiembre;VILLAVERDE;22;6;29;19;31;3;0;110
2023;septiembre;VILLA DE VALLECAS;15;6;33;15;16;2;3;90
2023;septiembre;VICALVARO;15;4;13;15;12;2;0;61
2023;septiembre;SAN BLAS;13;13;37;31;30;2;4;130
2023;septiembre;BARAJAS;5;2;6;22;20;4;7;66
2023;septiembre;FUERA TERMINO MUNICIPAL;1;0;1;0;3;0;0;5
2023;agosto;CENTRO;54;24;76;21;56;10;6;247
2023;agosto;ARGANZUELA;14;12;29;16;48;3;3;125
2023;agosto;RETIRO;10;2;26;13;23;4;0;78
2023;agosto;SALAMANCA;20;15;25;19;29;6;0;114
2023;agosto;CHAMARTIN;20;7;30;13;51;7;1;129
2023;agosto;TETUAN;28;4;35;27;22;4;2;122
2023;agosto;CHAMBERI;5;4;35;14;29;3;0;90
2023;agosto;FUENCARRAL;28;10;38;19;51;4;1;151
2023;agosto;MONCLOA;26;9;32;18;50;1;2;138
2023;agosto;LATINA;39;5;52;22;49;7;0;174
2023;agosto;CARABANCHEL;37;11;71;19;37;7;1;183
2023;agosto;USERA;24;0;30;7;33;5;3;102
2023;agosto;PUENTE VALLECAS;42;15;57;20;44;5;1;184
2023;agosto;MORATALAZ;10;2;20;11;14;0;1;58
2023;agosto;CIUDAD LINEAL;17;7;38;16;47;3;2;130
2023;agosto;HORTALEZA;24;5;34;20;61;7;0;151
2023;agosto;VILLAVERDE;45;5;24;12;43;1;0;130
2023;agosto;VILLA DE VALLECAS;43;5;25;5;19;4;0;101
2023;agosto;VICALVARO;10;1;18;2;19;1;2;53
2023;agosto;SAN BLAS;34;7;29;10;27;1;2;110
2023;agosto;BARAJAS;12;2;8;4;12;4;0;42
2023;agosto;FUERA TERMINO MUNICIPAL;4;0;2;0;0;0;1;7
2023;julio;CENTRO;50;32;67;32;59;29;18;287
2023;julio;ARGANZUELA;12;7;34;11;30;12;1;107
2023;julio;RETIRO;12;5;31;10;21;5;1;85
2023;julio;SALAMANCA;27;9;42;13;35;13;1;140
2023;julio;CHAMARTIN;19;4;26;17;38;8;1;113
2023;julio;TETUAN;29;9;49;16;15;7;4;129
2023;julio;CHAMBERI;25;8;37;10;22;5;2;109
2023;julio;FUENCARRAL;29;6;50;16;33;13;2;149
2023;julio;MONCLOA;22;7;30;12;54;10;7;142
2023;julio;LATINA;37;11;53;19;41;9;1;171
2023;julio;CARABANCHEL;38;13;53;14;33;6;0;157
2023;julio;USERA;28;4;34;12;28;5;4;115
2023;julio;PUENTE VALLECAS;41;10;63;24;41;8;2;189
2023;julio;MORATALAZ;9;3;15;8;12;6;1;54
2023;julio;CIUDAD LINEAL;24;9;55;10;45;9;0;152
