PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;102;81;28079102_81_98;2023;09;01;1.23;V;1.3;V;1.32;V;1;V;0.67;V;0.8;N;1.07;V;1.25;V;1.15;V;1.77;V;1.45;V;1.47;V;1.38;V;1.97;V;2.63;V;2.95;V;3.48;N;2.25;V;1.68;V;2.37;V;2.18;V;1.45;V;0.57;V;0.72;V
28;079;102;81;28079102_81_98;2023;09;02;0.65;V;1;V;1.35;V;1.05;V;1.27;V;1.86;V;2.2;V;2.47;V;1.63;V;1.47;V;1.1;V;2.03;V;3.1;V;4.7;V;4.57;V;4.95;V;5.03;N;4.97;V;3.67;V;3.53;V;3.28;V;3.48;V;2.42;V;1.92;V
28;079;102;81;28079102_81_98;2023;09;03;1.77;V;1.97;V;1.98;V;2.55;V;2.57;V;2.52;V;2.05;V;3.07;V;2.83;V;1.95;V;1.77;V;3.4;V;3.52;V;2.48;V;4.08;V;3.48;V;2.15;N;2.38;V;3.28;V;3.47;V;3.53;V;3.27;V;5.03;V;3.58;V
28;079;102;81;28079102_81_98;2023;09;04;2.13;V;1.08;V;0.57;V;1.7;V;0.72;V;2.15;N;0.9;V;0.68;V;1.9;V;1.93;V;1.85;V;1.47;V;1.6;V;1.92;V;1.43;V;0.75;V;1.33;N;1.72;V;1.43;V;1.03;V;1.25;V;1.52;V;1.08;V;1.87;V
28;079;102;81;28079102_81_98;2023;09;05;1.42;V;0.87;V;0.57;V;0.37;V;0.9;V;0.45;N;0.45;V;0.43;V;0.68;V;1.17;V;1.63;V;1.48;V;1.08;V;1.2;V;0.95;V;1.25;V;1.05;N;1.38;V;0.65;V;0.83;V;0.35;V;0.53;V;0.83;V;1.15;V
28;079;102;81;28079102_81_98;2023;09;06;1.42;V;1.13;V;0.55;V;0.75;V;0.8;N;6.47;N;0.87;V;1.7;V;2.03;V;2.5;V;2.5;V;2.4;V;1.42;V;1.47;V;1.68;V;1.57;V;2.4;N;1;V;1.15;V;0.95;V;0.93;V;0.67;V;0.62;V;0.62;V
28;079;102;81;28079102_81_98;2023;09;07;1.27;V;1.88;V;1.83;V;2.17;V;2.8;V;2.18;N;2.13;V;1.45;V;2.18;V;2.58;V;2.48;V;2.2;V;2;V;1.48;V;1.77;V;1.68;V;2.18;N;1.7;V;1.38;V;1.28;V;0.65;V;0.58;V;0.68;V;0.65;V
28;079;102;81;28079102_81_98;2023;09;08;1.13;V;2.13;V;1.32;V;1.82;V;1.53;V;2.3;V;2.72;V;2.37;V;2.1;V;2.23;V;2.1;V;1.68;V;1.5;V;1.65;V;2.02;V;2.03;V;3.33;N;2;V;1.97;V;1.47;V;0.97;V;0.45;V;1.13;V;2.12;V
28;079;102;81;28079102_81_98;2023;09;09;3.22;V;2.62;V;1.55;V;1.37;V;1.25;V;1.63;N;2.23;V;2.72;V;2.63;V;2.47;V;2.12;V;1.47;V;1.53;V;2.47;V;1.93;V;2.82;V;3.23;N;4;V;2.12;V;1.9;V;0.68;V;0.87;V;1.15;V;1.43;V
28;079;102;81;28079102_81_98;2023;09;10;1.68;V;2.7;V;2.17;V;2.6;V;1.72;V;1.6;V;1.35;V;2.05;V;2.18;V;1.67;V;1.45;V;1.5;V;1.57;V;1.37;V;1.25;V;1.95;V;1.93;N;1.82;V;1.45;V;1.17;V;1.3;V;0.33;V;1.4;V;1.77;V
